Français;Allemand
La vie privée;das Privatleben
La sphère privée;die Privatsphäre
Parler de soi;von sich erzählen
Mener une vie discète;ein diskretes Leben führen
Garder qqc pour soi;etw. für sich behalten
Public/la vie publique;öffentlich/die Öffentlichkeit
publier qqch;etw. veröffentlichen
Livrer des informations sur soi;Informationen über sich preis/Informationen über sich geben
cacher dissumuler qqch;etw. verbergen
(en) secret/le secret;geheim/das Geheimnis
curieux/la curiosité;neugierig/die Neugier
protéger sa vie privée;seine Privatsphäre schützen
partager des commentaire/partager des photos;Kommentare teilen/Fotos teilen
oublier qqch;etw. vergessen
faire attention à qqch;auf etw. auf passen/auf etw. achten
récolter des informations sur qqn;Informationen über jn sammeln
pirater/voler des données;Daten hacken/Daten klauen
effacer qqch;etw. löschen
accorder de l'importante à qqch;auf etw. Wert legen
publier des commentaires, des photos sensibles;sensible Kommentare veröffentlichen/sensible Fotos veröffentlichen
utiliser des informations sur qqn;Informationen über jn nutzen
nuire à qqn/porter préjudice à qqn;jn schaden
avoir des conséquences grave pour qqn,qqch;für jn schlimme Konsequenzen haben/für etw. schlimme Konsequenzen haben
